,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_transaction_count,consequent_transaction_count
60,frozenset({'holiday'}),frozenset({'savoury'}),0.013625735709102636,0.1451261791502056,0.0066113037168427,0.485207100591716,3.3433464825772523,0.004633852755270116,1.6606169623404052,0.710580668827777,"(169,)","(1800,)"
61,frozenset({'savoury'}),frozenset({'holiday'}),0.1451261791502056,0.013625735709102636,0.0066113037168427,0.04555555555555556,3.343346482577252,0.004633852755270116,1.0334538275457599,0.8198853062754904,"(1800,)","(169,)"
12,frozenset({'muffin'}),frozenset({'bread'}),0.01386761267435298,0.12859791985809885,0.005563170200757881,0.4011627906976744,3.1195122840271194,0.003779824057438281,1.455156871693272,0.688991739924331,"(172,)","(1595,)"
13,frozenset({'bread'}),frozenset({'muffin'}),0.12859791985809885,0.01386761267435298,0.005563170200757881,0.04326018808777429,3.1195122840271194,0.003779824057438281,1.0307215974996113,0.7797055857711412,"(1595,)","(172,)"
9,frozenset({'holiday'}),frozenset({'bread'}),0.013625735709102636,0.12859791985809885,0.005401918890590986,0.39644970414201186,3.082862495594591,0.003649677621864169,1.443793642588052,0.6849592156920157,"(169,)","(1595,)"
8,frozenset({'bread'}),frozenset({'holiday'}),0.12859791985809885,0.013625735709102636,0.005401918890590986,0.04200626959247649,3.082862495594591,0.003649677621864169,1.029624968287946,0.7753322580288785,"(1595,)","(169,)"
101,frozenset({'savoury'}),"frozenset({'bread', 'cookies'})",0.1451261791502056,0.027654599693622512,0.012013222607433685,0.08277777777777778,2.993273404599935,0.007999816217969805,1.060097953089933,0.7789659378408165,"(1800,)","(1595, 1631)"
96,"frozenset({'bread', 'cookies'})",frozenset({'savoury'}),0.027654599693622512,0.1451261791502056,0.012013222607433685,0.43440233236151604,2.993273404599935,0.007999816217969805,1.5114521677911312,0.6848570347368305,"(1595, 1631)","(1800,)"
99,frozenset({'bread'}),"frozenset({'cookies', 'savoury'})",0.12859791985809885,0.031524631137628,0.012013222607433685,0.09341692789968652,2.9632996336056565,0.007959220618840874,1.0682698570784808,0.7603130169548782,"(1595,)","(1631, 1800)"
98,"frozenset({'cookies', 'savoury'})",frozenset({'bread'}),0.031524631137628,0.12859791985809885,0.012013222607433685,0.3810741687979539,2.9632996336056565,0.007959220618840874,1.4079265013862947,0.6841044861179091,"(1631, 1800)","(1595,)"
103,"frozenset({'pie', 'savoury'})",frozenset({'bread'}),0.03184713375796178,0.12859791985809885,0.011932596952350237,0.37468354430379747,2.9136050156739812,0.007837121797633713,1.393537739498182,0.6783872688477952,"(2643, 1800)","(1595,)"
106,frozenset({'bread'}),"frozenset({'pie', 'savoury'})",0.12859791985809885,0.03184713375796178,0.011932596952350237,0.0927899686520376,2.913605015673981,0.007837121797633713,1.0671761034250524,0.75370783903815,"(1595,)","(2643, 1800)"
87,frozenset({'bread'}),"frozenset({'cakes', 'savoury'})",0.12859791985809885,0.023220188664032894,0.008546319438845441,0.0664576802507837,2.8620646116335777,0.005560251477938203,1.0463155131503477,0.7466150161306091,"(1595,)","(6073, 1800)"
86,"frozenset({'cakes', 'savoury'})",frozenset({'bread'}),0.023220188664032894,0.12859791985809885,0.008546319438845441,0.3680555555555556,2.8620646116335773,0.005560251477938203,1.3789219729717996,0.6660681051869272,"(6073, 1800)","(1595,)"
89,frozenset({'savoury'}),"frozenset({'bread', 'cakes'})",0.1451261791502056,0.022252680803031524,0.008546319438845441,0.05888888888888889,2.646372785829308,0.005316872898052347,1.038928674471395,0.7277381445977376,"(1800,)","(1595, 6073)"
84,"frozenset({'bread', 'cakes'})",frozenset({'savoury'}),0.022252680803031524,0.1451261791502056,0.008546319438845441,0.3840579710144928,2.646372785829308,0.005316872898052347,1.3879127914973133,0.6362832973670168,"(1595, 6073)","(1800,)"
1,frozenset({'breakfast'}),frozenset({'bread'}),0.03813593485447069,0.12859791985809885,0.012900104813351609,0.3382663847780127,2.6304187902204963,0.007995902919222708,1.3168472329300935,0.6444074811399831,"(473,)","(1595,)"
0,frozenset({'bread'}),frozenset({'breakfast'}),0.12859791985809885,0.03813593485447069,0.012900104813351609,0.10031347962382446,2.6304187902204963,0.007995902919222708,1.069110232687888,0.7113047048482605,"(1595,)","(473,)"
91,"frozenset({'pie', 'cookies'})",frozenset({'bread'}),0.02676771748770459,0.12859791985809885,0.008465693783761993,0.31626506024096385,2.459332628318918,0.0050234209954939275,1.2744735269035734,0.609706064515111,"(2643, 1631)","(1595,)"
94,frozenset({'bread'}),"frozenset({'pie', 'cookies'})",0.12859791985809885,0.02676771748770459,0.008465693783761993,0.06583072100313479,2.459332628318918,0.0050234209954939275,1.0418157655081284,0.6809550244968454,"(1595,)","(2643, 1631)"
20,frozenset({'bread'}),frozenset({'scones'}),0.12859791985809885,0.025719583971619768,0.008062565508344756,0.06269592476489029,2.4376725857646844,0.004755080509978754,1.0394496746255963,0.6768088452997781,"(1595,)","(319,)"
21,frozenset({'scones'}),frozenset({'bread'}),0.025719583971619768,0.12859791985809885,0.008062565508344756,0.31347962382445144,2.437672585764684,0.004755080509978754,1.2693025733573813,0.6053417742469381,"(319,)","(1595,)"
59,frozenset({'squares'}),frozenset({'cookies'}),0.025477707006369428,0.13150044344110295,0.007820688543094412,0.30696202531645567,2.334304107909258,0.004470358773894336,1.2531774423406916,0.5865507715113536,"(316,)","(1631,)"
58,frozenset({'cookies'}),frozenset({'squares'}),0.13150044344110295,0.025477707006369428,0.007820688543094412,0.05947271612507664,2.334304107909258,0.004470358773894336,1.0361446283393816,0.6581543980001606,"(1631,)","(316,)"
100,frozenset({'cookies'}),"frozenset({'bread', 'savoury'})",0.13150044344110295,0.039587196645972746,0.012013222607433685,0.09135499693439608,2.307690482642189,0.006807488693898126,1.0569725251487303,0.6524658759847181,"(1631,)","(1595, 1800)"
97,"frozenset({'bread', 'savoury'})",frozenset({'cookies'}),0.039587196645972746,0.13150044344110295,0.012013222607433685,0.30346232179226074,2.307690482642189,0.006807488693898126,1.2468809423111653,0.590023708538229,"(1595, 1800)","(1631,)"
75,frozenset({'savoury'}),frozenset({'scones'}),0.1451261791502056,0.025719583971619768,0.008304442473595098,0.05722222222222222,2.2248502264019505,0.0045718575224610505,1.0334147017390007,0.643991579595077,"(1800,)","(319,)"
74,frozenset({'scones'}),frozenset({'savoury'}),0.025719583971619768,0.1451261791502056,0.008304442473595098,0.322884012539185,2.2248502264019505,0.0045718575224610505,1.2625219854216871,0.5650647731253394,"(319,)","(1800,)"
102,"frozenset({'pie', 'bread'})",frozenset({'savoury'}),0.038458437474804485,0.1451261791502056,0.011932596952350237,0.310272536687631,2.137950151409271,0.006351270865544781,1.239437120198638,0.5535509515888519,"(2643, 1595)","(1800,)"
107,frozenset({'savoury'}),"frozenset({'pie', 'bread'})",0.1451261791502056,0.038458437474804485,0.011932596952350237,0.08222222222222222,2.137950151409271,0.006351270865544781,1.047684511226,0.6226208288832074,"(1800,)","(2643, 1595)"
19,frozenset({'savoury'}),frozenset({'bread'}),0.1451261791502056,0.12859791985809885,0.039587196645972746,0.2727777777777778,2.1211678857540925,0.02092427189030251,1.198261072769612,0.618291944811377,"(1800,)","(1595,)"
18,frozenset({'bread'}),frozenset({'savoury'}),0.12859791985809885,0.1451261791502056,0.039587196645972746,0.30783699059561126,2.1211678857540925,0.02092427189030251,1.2350758553038244,0.6065645346812575,"(1595,)","(1800,)"
10,frozenset({'bread'}),frozenset({'loaf'}),0.12859791985809885,0.021285172942030153,0.005563170200757881,0.04326018808777429,2.0324095183813053,0.002825941236592913,1.0229686429603289,0.582937759469636,"(1595,)","(264,)"
11,frozenset({'loaf'}),frozenset({'bread'}),0.021285172942030153,0.12859791985809885,0.005563170200757881,0.26136363636363635,2.0324095183813053,0.002825941236592913,1.1797443546536508,0.5190206198490671,"(264,)","(1595,)"
114,"frozenset({'pie', 'cookies'})",frozenset({'savoury'}),0.02676771748770459,0.1451261791502056,0.007175683302426832,0.2680722891566265,1.847167001338688,0.003290986738864125,1.16797575523511,0.47124457446996654,"(2643, 1631)","(1800,)"
119,frozenset({'savoury'}),"frozenset({'pie', 'cookies'})",0.1451261791502056,0.02676771748770459,0.007175683302426832,0.049444444444444444,1.847167001338688,0.003290986738864125,1.0238562878563013,0.5364890369166242,"(1800,)","(2643, 1631)"
