Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_transaction_count,consequent_transaction_count
60,frozenset({'holiday'}),frozenset({'savoury'}),0.0136257357091026,0.1451261791502056,0.0066113037168427,0.485207100591716,3.3433464825772523,0.0046338527552701,1.6606169623404052,0.710580668827777,"(169,)","(1800,)"
61,frozenset({'savoury'}),frozenset({'holiday'}),0.1451261791502056,0.0136257357091026,0.0066113037168427,0.0455555555555555,3.343346482577252,0.0046338527552701,1.03345382754576,0.8198853062754904,"(1800,)","(169,)"
12,frozenset({'muffin'}),frozenset({'bread'}),0.0138676126743529,0.1285979198580988,0.0055631702007578,0.4011627906976744,3.119512284027119,0.0037798240574382,1.455156871693272,0.688991739924331,"(172,)","(1595,)"
13,frozenset({'bread'}),frozenset({'muffin'}),0.1285979198580988,0.0138676126743529,0.0055631702007578,0.0432601880877742,3.119512284027119,0.0037798240574382,1.0307215974996111,0.7797055857711412,"(1595,)","(172,)"
9,frozenset({'holiday'}),frozenset({'bread'}),0.0136257357091026,0.1285979198580988,0.0054019188905909,0.3964497041420118,3.082862495594591,0.0036496776218641,1.443793642588052,0.6849592156920157,"(169,)","(1595,)"
8,frozenset({'bread'}),frozenset({'holiday'}),0.1285979198580988,0.0136257357091026,0.0054019188905909,0.0420062695924764,3.082862495594591,0.0036496776218641,1.029624968287946,0.7753322580288785,"(1595,)","(169,)"
101,frozenset({'savoury'}),"frozenset({'cookies', 'bread'})",0.1451261791502056,0.0276545996936225,0.0120132226074336,0.0827777777777777,2.993273404599935,0.0079998162179698,1.060097953089933,0.7789659378408165,"(1800,)","(1595, 1631)"
96,"frozenset({'cookies', 'bread'})",frozenset({'savoury'}),0.0276545996936225,0.1451261791502056,0.0120132226074336,0.434402332361516,2.993273404599935,0.0079998162179698,1.5114521677911312,0.6848570347368305,"(1595, 1631)","(1800,)"
99,frozenset({'bread'}),"frozenset({'savoury', 'cookies'})",0.1285979198580988,0.031524631137628,0.0120132226074336,0.0934169278996865,2.9632996336056565,0.0079592206188408,1.0682698570784808,0.7603130169548782,"(1595,)","(1631, 1800)"
98,"frozenset({'savoury', 'cookies'})",frozenset({'bread'}),0.031524631137628,0.1285979198580988,0.0120132226074336,0.3810741687979539,2.9632996336056565,0.0079592206188408,1.4079265013862947,0.6841044861179091,"(1631, 1800)","(1595,)"
103,"frozenset({'savoury', 'pie'})",frozenset({'bread'}),0.0318471337579617,0.1285979198580988,0.0119325969523502,0.3746835443037974,2.9136050156739812,0.0078371217976337,1.393537739498182,0.6783872688477952,"(2643, 1800)","(1595,)"
106,frozenset({'bread'}),"frozenset({'savoury', 'pie'})",0.1285979198580988,0.0318471337579617,0.0119325969523502,0.0927899686520376,2.913605015673981,0.0078371217976337,1.0671761034250524,0.75370783903815,"(1595,)","(2643, 1800)"
87,frozenset({'bread'}),"frozenset({'savoury', 'cakes'})",0.1285979198580988,0.0232201886640328,0.0085463194388454,0.0664576802507837,2.8620646116335777,0.0055602514779382,1.0463155131503477,0.7466150161306091,"(1595,)","(6073, 1800)"
86,"frozenset({'savoury', 'cakes'})",frozenset({'bread'}),0.0232201886640328,0.1285979198580988,0.0085463194388454,0.3680555555555556,2.8620646116335773,0.0055602514779382,1.3789219729717996,0.6660681051869272,"(6073, 1800)","(1595,)"
89,frozenset({'savoury'}),"frozenset({'cakes', 'bread'})",0.1451261791502056,0.0222526808030315,0.0085463194388454,0.0588888888888888,2.646372785829308,0.0053168728980523,1.038928674471395,0.7277381445977376,"(1800,)","(1595, 6073)"
84,"frozenset({'cakes', 'bread'})",frozenset({'savoury'}),0.0222526808030315,0.1451261791502056,0.0085463194388454,0.3840579710144928,2.646372785829308,0.0053168728980523,1.3879127914973133,0.6362832973670168,"(1595, 6073)","(1800,)"
1,frozenset({'breakfast'}),frozenset({'bread'}),0.0381359348544706,0.1285979198580988,0.0129001048133516,0.3382663847780127,2.6304187902204963,0.0079959029192227,1.3168472329300935,0.6444074811399831,"(473,)","(1595,)"
0,frozenset({'bread'}),frozenset({'breakfast'}),0.1285979198580988,0.0381359348544706,0.0129001048133516,0.1003134796238244,2.6304187902204963,0.0079959029192227,1.069110232687888,0.7113047048482605,"(1595,)","(473,)"
91,"frozenset({'pie', 'cookies'})",frozenset({'bread'}),0.0267677174877045,0.1285979198580988,0.0084656937837619,0.3162650602409638,2.459332628318918,0.0050234209954939,1.2744735269035734,0.609706064515111,"(2643, 1631)","(1595,)"
94,frozenset({'bread'}),"frozenset({'pie', 'cookies'})",0.1285979198580988,0.0267677174877045,0.0084656937837619,0.0658307210031347,2.459332628318918,0.0050234209954939,1.0418157655081284,0.6809550244968454,"(1595,)","(2643, 1631)"
20,frozenset({'bread'}),frozenset({'scones'}),0.1285979198580988,0.0257195839716197,0.0080625655083447,0.0626959247648902,2.4376725857646844,0.0047550805099787,1.0394496746255963,0.6768088452997781,"(1595,)","(319,)"
21,frozenset({'scones'}),frozenset({'bread'}),0.0257195839716197,0.1285979198580988,0.0080625655083447,0.3134796238244514,2.437672585764684,0.0047550805099787,1.2693025733573813,0.6053417742469381,"(319,)","(1595,)"
59,frozenset({'squares'}),frozenset({'cookies'}),0.0254777070063694,0.1315004434411029,0.0078206885430944,0.3069620253164556,2.334304107909258,0.0044703587738943,1.2531774423406916,0.5865507715113536,"(316,)","(1631,)"
