product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Copy of Trifle Cake,Bread & Butter Bakery and Fine Pastries,Cakes,47,4348.000,-157.400,0.000,4190.600,0.000,4190.600
Chocolate Cherry Cake,Bread & Butter Bakery and Fine Pastries,,103,4175.000,-67.200,0.000,4107.800,0.000,4107.800
Plain Cheesecake with Choice of Topping,Bread & Butter Bakery and Fine Pastries,Cakes,86,4190.000,-68.000,-72.000,4050.000,0.000,4050.000
6 White Chocolate Cranberry Scones,Bread & Butter Bakery and Fine Pastries,scones,173,4106.250,-2.250,-77.250,4026.750,0.000,4026.750
Charcuterie Board,Bread & Butter Bakery and Fine Pastries,Savoury,166,3919.000,0.000,-147.000,3772.000,139.360,3911.360
Cherry Pie,Bread & Butter Bakery and Fine Pastries,pie,218,4393.450,-416.840,-94.750,3881.860,11.750,3893.610
Lemon Cheesecake,Bread & Butter Bakery and Fine Pastries,Cakes,91,4074.000,-6.400,-180.000,3887.600,0.000,3887.600
Chocolate Cream Pie,Bread & Butter Bakery and Fine Pastries,pie,147,4203.500,-276.450,-84.850,3842.200,0.000,3842.200
Easter Dinner for 2,Bread & Butter Bakery and Fine Pastries,Gourmet,41,3580.000,-85.000,-160.000,3335.000,420.750,3755.750
6 Macarons,Bread & Butter Bakery and Fine Pastries,Cookies,212,4252.000,-123.900,-422.100,3706.000,0.000,3706.000
Sausage Rolls - 1 Dozen,Bread & Butter Bakery and Fine Pastries,Savoury,214,3902.500,-164.500,-157.500,3580.500,0.000,3580.500
Dinner Rolls - 1 Dozen,Bread & Butter Bakery and Fine Pastries,Bread,535,3886.500,-383.640,-96.850,3406.010,0.000,3406.010
Multigrain Sourdough,Bread & Butter Bakery and Fine Pastries,Bread,461,3410.000,-4.350,-13.300,3392.350,0.000,3392.350
Mushroom Wellington -Vegetarian,Bread & Butter Bakery and Fine Pastries,,131,3430.000,0.000,-52.000,3378.000,0.000,3378.000
6 Croissants,Bread & Butter Bakery and Fine Pastries,Breakfast,136,3446.100,0.000,-94.800,3351.300,0.000,3351.300
Lemon Poppyseed Loaf,Bread & Butter Bakery and Fine Pastries,loaf,233,3357.350,-16.950,0.000,3340.400,0.000,3340.400
Caramelized Onion & Gruyere Tarts - 1 Dozen,Bread & Butter Bakery and Fine Pastries,Savoury,199,3552.500,-154.000,-70.000,3328.500,0.000,3328.500
Copy of Vanilla Buttercake with Raspberry Buttercream,Bread & Butter Bakery and Fine Pastries,Cakes,41,3594.000,-199.000,-348.000,3047.000,0.000,3047.000
Tea Party Box,Bread & Butter Bakery and Fine Pastries,Dessert,37,3038.950,0.000,0.000,3038.950,0.000,3038.950
Copy of Chocolate Buttercake,Bread & Butter Bakery and Fine Pastries,Cakes,36,3317.000,-162.160,-179.000,2975.840,0.000,2975.840
Local Cured Meats Platter,Bread & Butter Bakery and Fine Pastries,Catering,38,3118.000,-322.000,-161.000,2635.000,335.400,2970.400
Brunch Box for 2 - Quiche,Bread & Butter Bakery and Fine Pastries,Savoury,53,2640.000,0.000,-96.000,2544.000,326.880,2870.880
Shepherds Pie,Bread & Butter Bakery and Fine Pastries,Savoury,146,2902.000,0.000,-37.500,2864.500,0.000,2864.500
Basque Cheesecake- Choice of Flavour,Bread & Butter Bakery and Fine Pastries,Cakes,64,2930.000,-11.000,-197.000,2722.000,0.000,2722.000
6 Hot Cross Buns,Bread & Butter Bakery and Fine Pastries,Breakfast,205,3105.000,-360.000,-30.000,2715.000,0.000,2715.000
Scottish Shortbread,Bread & Butter Bakery and Fine Pastries,Cookies,219,2664.850,-16.730,-47.800,2600.320,0.000,2600.320
Bumbleberry Crumble,Bread & Butter Bakery and Fine Pastries,pie,107,2594.350,-6.180,-28.950,2559.220,0.000,2559.220
Pear Apple Cranberry Crumble Pie,Bread & Butter Bakery and Fine Pastries,thanksgiving,100,2665.950,-163.650,-32.950,2469.350,84.910,2554.260
Cake Tasting Box,Bread & Butter Bakery and Fine Pastries,,51,2668.000,-57.600,-144.000,2466.400,0.000,2466.400
6 Vegan Cupcakes,Bread & Butter Bakery and Fine Pastries,,96,2646.000,-214.780,-48.600,2382.620,0.000,2382.620
6 Chocolate Chunk Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,232,2741.700,-357.380,-24.300,2360.020,0.000,2360.020
6 Banana Chocolate Chunk Muffins,Bread & Butter Bakery and Fine Pastries,muffin,131,2680.000,-47.850,-274.500,2357.650,0.000,2357.650
Copy of Carrot Cake,Bread & Butter Bakery and Fine Pastries,Cakes,29,2346.000,-6.500,-70.000,2269.500,0.000,2269.500
Whole Wheat Bread,Bread & Butter Bakery and Fine Pastries,Bread,367,2225.300,-2.380,-40.460,2182.460,0.000,2182.460
Cookie Trays - Individually Wrapped,Bread & Butter Bakery and Fine Pastries,Cookies,41,1989.000,-12.600,-33.000,1943.400,217.280,2160.680
6 Ginger Molasses Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,288,2323.300,-122.790,-55.600,2144.910,0.000,2144.910
Holiday Decorated Cupcakes - Pkg of 6,Bread & Butter,Cakes,81,2442.000,-165.000,-135.000,2142.000,0.000,2142.000
Brunch Box - Individual,Bread & Butter Bakery and Fine Pastries,Catering,158,2514.000,-432.000,-224.000,1858.000,196.040,2054.040
Pulla Bread,Bread & Butter Bakery and Fine Pastries,Bread,249,2240.000,-206.250,-35.000,1998.750,0.000,1998.750
"10"" Chocolate Tower Salted Caramel",,,22,2090.000,-95.000,0.000,1995.000,0.000,1995.000
Easter Cupcakes - Pack of 4,Bread & Butter Bakery and Fine Pastries,Easter,95,1822.000,-47.600,-36.000,1738.400,220.510,1958.910
