product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Multigrain,,,77,572.750,-13.320,-14.500,544.930,0.000,544.930
Pumpkin Pie,"5""",,67,504.100,0.000,-21.400,482.700,61.850,544.550
Mincemeat Pie,"8""",,23,563.800,0.000,-22.950,540.850,2.980,543.830
White Chocolate Cheesecake - Choice of Fruit,"10"" Serves 14-16 / Raspberry",,8,554.000,-13.600,0.000,540.400,0.000,540.400
6 Linzer Cookies,6 Small,,45,552.000,0.000,-12.000,540.000,0.000,540.000
Copy of Carrot Cake,1/2 Slab Serves 35-40,,4,530.000,0.000,0.000,530.000,0.000,530.000
Basque Cheesecake- Choice of Flavour,"6"" - Serves 4-6 / Mixed Berry",,14,526.000,0.000,0.000,526.000,0.000,526.000
6-cookie pack (2 Choc. Chunk + 2 Oat. Raisin + 2 PB),,,45,517.500,0.000,0.000,517.500,0.000,517.500
Brunch Box - Individual,Grapefruit & Prosciutto Breakfast Salad with Croissant,,34,546.000,0.000,-70.000,476.000,40.040,516.040
6 Croissants,Chocolate,,21,512.950,0.000,0.000,512.950,0.000,512.950
Flourless Chocolate Cake,"6""",,14,592.000,0.000,-80.000,512.000,0.000,512.000
Copy of Vegan Chocolate Cake,"10"" Serves 14-16",,6,510.000,0.000,0.000,510.000,0.000,510.000
2 Iced Shortbread,,,61,455.750,-3.180,0.000,452.570,55.730,508.300
Turkey Meatballs with Cranberry Glaze,1 Dozen,,30,525.000,-17.500,0.000,507.500,0.000,507.500
Brie and Cranberry Puff Pastry Bites,1 Dozen,,29,542.500,0.000,-35.000,507.500,0.000,507.500
Sourdough Bread,Small- Regular Slice,,84,534.450,-27.300,0.000,507.150,0.000,507.150
Turkey Gravy - Thanksgiving Menu,1 L,,38,478.000,-1.190,-12.000,464.810,36.420,501.230
Non-Refundable Space Reservation Deposit,,,1,500.000,0.000,0.000,500.000,0.000,500.000
4 Chocolate Cupcakes with Vanilla Buttercream Topped with Pumpkin Decoration - Thanksgiving Menu,,,23,442.000,0.000,0.000,442.000,57.460,499.460
Peach Pie,"9""",,17,567.050,0.000,-67.900,499.150,0.000,499.150
Drink Tickets,,,55,440.000,0.000,0.000,440.000,57.200,497.200
Coconut Cream Pie,"5""",,66,494.950,0.000,-20.850,474.100,19.340,493.440
"Vegan Cherry Pie - 8""","8""",,26,509.700,-18.950,0.000,490.750,0.000,490.750
Chicken Noodle Soup - Frozen,1 Litre,,38,489.000,0.000,0.000,489.000,0.000,489.000
Copy of Trifle Cake,"10"" / Buttercream",,7,476.000,0.000,0.000,476.000,0.000,476.000
Chicken Skewers with Peanut Dipping Sauce,1 Dozen,,25,520.000,-24.000,-20.000,476.000,0.000,476.000
Copy of Bailey's & Coffee Cake,"10"" Serves 14-16",,7,476.000,0.000,0.000,476.000,0.000,476.000
Copy of Chocolate Salted Caramel Cake,"10"" Serves 14-16",,7,469.000,0.000,0.000,469.000,0.000,469.000
Copy of Trifle Cake,1/4 Slab / Buttercream,,6,468.000,0.000,0.000,468.000,0.000,468.000
6 Rhubarb Muffins,,,23,465.000,0.000,0.000,465.000,0.000,465.000
150 Assorted Muffins-No Nuts,,,1,462.500,0.000,0.000,462.500,0.000,462.500
Flourless Vanilla Cake,"6""",,12,448.000,0.000,0.000,448.000,12.480,460.480
White Chocolate Cheesecake - Choice of Fruit,"8"" Serves 8-10 / Blueberry",,9,460.000,0.000,0.000,460.000,0.000,460.000
Cranberry Compote,,,77,474.000,-6.000,-12.000,456.000,0.000,456.000
Hasselback Squash with Prosciutto Crisp and Brown Butter Breadcrumbs,,,30,472.000,0.000,-16.000,456.000,0.000,456.000
Fruitcake,1/2 Pound,,38,456.000,0.000,0.000,456.000,0.000,456.000
Copy of Chocolate Salted Caramel Cake,1/4 Slab Serves 15-20,,6,456.000,0.000,0.000,456.000,0.000,456.000
Plain Cheesecake with Choice of Topping,"8"" Serves 8-10 / Cherry Topping",,8,454.000,0.000,0.000,454.000,0.000,454.000
Sourdough Bread,Small,,76,464.100,0.000,-11.900,452.200,0.000,452.200
Basque Cheesecake,"6"" - Serves 4-6",,14,480.000,0.000,-32.000,448.000,0.000,448.000
Baked Fruit Tart,Blueberry / Medium,,29,446.700,0.000,0.000,446.700,0.000,446.700
full vanilla slab cake with vanilla bc,,,2,440.000,0.000,0.000,440.000,0.000,440.000
Copy of Chocolate Buttercake,Full Slab Serves 70,,2,440.000,0.000,0.000,440.000,0.000,440.000
Trifle Cake,"6"" / Splenda Whipped Cream",,13,498.000,0.000,-67.000,431.000,0.000,431.000
Stuffing (Made with Turkey Drippings),,,38,450.000,0.000,-20.000,430.000,0.000,430.000
Bag of 1 Gingerbread Man and 1 Snowflake,,,85,531.250,-106.250,0.000,425.000,0.000,425.000
White Bread,Regular Slices,,94,417.750,0.000,0.000,417.750,0.000,417.750
Breakfast Pastry Selection - 8 am pickup,,,6,408.000,-40.800,0.000,367.200,47.740,414.940
Copy of Chocolate Buttercake,1/4 Slab Serves 15-20,,8,550.000,-140.000,0.000,410.000,0.000,410.000
Plain Cheesecake with Choice of Topping,"10"" Serves 14-16 / Fresh Berries",,5,406.000,0.000,0.000,406.000,0.000,406.000
Butternut Squash Bisque,500mL,,56,409.000,0.000,-6.750,402.250,0.000,402.250
White Chocolate Cheesecake - Choice of Fruit,"6"" Serves 4-6 / Blueberry",,12,400.000,0.000,0.000,400.000,0.000,400.000
Build Your Own Breakfast Sandwich,Brunch for 2,,11,407.000,-7.400,0.000,399.600,0.000,399.600
Copy of Jam Filled Layer Cake,"10"" Serves 14-16",,6,476.000,-13.000,-72.000,391.000,0.000,391.000
Baked Fruit Tart,Caramel Apple Pecan / Large,,17,407.100,0.000,-20.950,386.150,0.000,386.150
Plain Cheesecake,"6"" Serves 4-6 / Cherry Topping",,12,384.000,0.000,0.000,384.000,0.000,384.000
Plain Cheesecake -Choice of Topping,"8"" Serves 8-10 / Fresh Fruit",,8,432.000,0.000,-48.000,384.000,0.000,384.000
Butternut Squash Bisque,1 Litre,,28,399.000,-3.000,-13.000,383.000,0.000,383.000
White Bread,,,96,412.250,-25.500,-4.250,382.500,0.000,382.500
Brunch Box for 2 - Quiche,2 Roasted Red Pepper & Goat Cheese,,7,336.000,0.000,0.000,336.000,43.680,379.680
Basque Cheesecake- Choice of Flavour,"8"" - Serves 8-10 / Classic",,7,433.000,0.000,-55.000,378.000,0.000,378.000
Flourless Vanilla Cake,"10""",,5,375.000,0.000,0.000,375.000,0.000,375.000
Build Your Own Breakfast Sandwich,Brunch for 4,,5,370.000,0.000,0.000,370.000,0.000,370.000
Turkey Gravy - Thanksgiving Menu,500 mL,,53,338.750,0.000,0.000,338.750,26.780,365.530
Extra Large Raspberry Macaron,,,28,331.550,0.000,-10.950,320.600,41.640,362.240
"Iced Shortbread Cookie (heart-shaped, individually packaged)",,,80,320.000,0.000,0.000,320.000,41.600,361.600
Beef and Vegetable Guinness Pie,,,28,359.750,0.000,0.000,359.750,0.000,359.750
Raspberry Coconut Lime Pie,"9""",,11,386.400,0.000,-32.950,353.450,0.000,353.450
Plain Cheesecake -Choice of Topping,"6"" Serves 4-6 / Fresh Fruit",,11,384.000,0.000,-32.000,352.000,0.000,352.000
Peach Raspberry Pie,"8""",,15,350.250,0.000,0.000,350.250,0.000,350.250
Copy of Vanilla Vegan Cake,Full Slab - Serves 70,,1,340.000,0.000,0.000,340.000,0.000,340.000
Copy of Vegan Chocolate Cake,1/2 Slab - Serves 35-40,,2,340.000,0.000,0.000,340.000,0.000,340.000
Baked Fruit Tart,Caramel Apple Pecan / Medium,,23,372.300,-16.950,-16.950,338.400,0.000,338.400
Plain Cheesecake,"8"" Serves 8-10 / Cherry Topping",,7,384.000,0.000,-48.000,336.000,0.000,336.000
Brownie Cobbler Slabs,,,24,336.000,0.000,0.000,336.000,0.000,336.000
Flourless Chocolate Cake,"10""",,4,335.000,0.000,0.000,335.000,0.000,335.000
Creamy Tomato Soup,500mL,,52,346.500,0.000,-12.300,334.200,0.000,334.200
4 Valentine's Day Cupcakes - Chocolate Curl,Regular,,15,290.000,0.000,0.000,290.000,37.700,327.700
Brunch Box for 2 - Quiche,2 Asparagus Goat Cheese & Chive,,6,288.000,0.000,0.000,288.000,37.440,325.440
full slab choc vegan cake,,,1,325.000,0.000,0.000,325.000,0.000,325.000
Plain Cheesecake -Choice of Topping,"10"" Serves 14-16 / Fresh Fruit",,5,325.000,0.000,0.000,325.000,0.000,325.000
Italian Bread,,,75,343.650,-5.220,-17.400,321.030,0.000,321.030
Plum Pudding,,,11,348.000,0.000,-29.000,319.000,0.000,319.000
Cookie Tray - 4 dozen (Individually wrapped)  NO HERMIT COOKIES,,,3,276.000,0.000,0.000,276.000,35.880,311.880
MOM Cookie Cake,,,14,363.300,-51.900,0.000,311.400,0.000,311.400
Breakfast Pastry Selection - Large (8am pickup),,,4,272.000,0.000,0.000,272.000,35.360,307.360
Breakfast Pastry Selection - Large (7am pickup),,,4,272.000,0.000,0.000,272.000,35.360,307.360
Copy of Jam Filled Layer Cake,1/4 Slab Serves 15-20,,4,304.000,0.000,0.000,304.000,0.000,304.000
150 Oatmeal Raisin Cookies,,,1,303.750,0.000,0.000,303.750,0.000,303.750
150 Peanut Butter Cookies,,,1,303.750,0.000,0.000,303.750,0.000,303.750
150 Chocolate Chunk Cookies,,,1,303.750,0.000,0.000,303.750,0.000,303.750
Gratuity,,,1,300.780,0.000,0.000,300.780,0.000,300.780
Small Pumpkin Loaf with Cream Cheese Icing,,,20,314.800,0.000,-51.800,263.000,31.280,294.280
Strawberries & Cream,,,11,264.000,-4.800,0.000,259.200,33.700,292.900
Assorted Scone Selection (7am pickup),,,4,256.000,0.000,0.000,256.000,33.280,289.280
Basque Cheesecake,"8"" - Serves 8-10",,6,288.000,0.000,0.000,288.000,0.000,288.000
Basque Cheesecake- Choice of Flavour,"6"" - Serves 4-6 / Chocolate Amaretto",,8,286.000,0.000,0.000,286.000,0.000,286.000
Brunch Box for 2 - Quiche,1 Lorraine & 1 Red Pepper,,5,240.000,0.000,0.000,240.000,31.200,271.200
Brunch Box for 2 - Quiche,2 Ham Brie & Onion,,5,288.000,0.000,-48.000,240.000,31.200,271.200
Copy of Trifle Cake,1/2 Slab / Splenda Whipped Cream,,2,270.000,0.000,0.000,270.000,0.000,270.000
1/2 slab Lemon Layer Cake,,,2,270.000,0.000,0.000,270.000,0.000,270.000
Copy of Trifle Cake,1/2 Slab / Whipped Cream,,3,400.000,-130.000,0.000,270.000,0.000,270.000
Cherry Pie,"5""",,33,264.900,0.000,-7.950,256.950,11.750,268.700
Bailey's Cheesecake,"8""",,5,268.000,0.000,0.000,268.000,0.000,268.000
Raspberry Coconut Lime Pie,"8""",,12,267.400,0.000,0.000,267.400,0.000,267.400
Copy of Chocolate Salted Caramel Cake,1/2 Slab Serves 35-40,,2,265.000,0.000,0.000,265.000,0.000,265.000
Mincemeat Pie,"9""",,8,259.600,0.000,0.000,259.600,4.280,263.880
Plain Cheesecake,"10"" Serves 14-16 / Cherry Topping",,4,263.000,0.000,0.000,263.000,0.000,263.000
Napoleon,,,38,261.000,0.000,0.000,261.000,0.000,261.000
Lemon Layer Cake - Full Slab 130.00,,,1,260.000,0.000,0.000,260.000,0.000,260.000
Copy of Trifle Cake,Full Slab / Whipped Cream,,1,260.000,0.000,0.000,260.000,0.000,260.000
Copy of Trifle Cake,Full Slab / Buttercream,,1,260.000,0.000,0.000,260.000,0.000,260.000
Fruitcake,2 Pounds,,8,297.000,-6.600,-33.000,257.400,0.000,257.400
Basque Cheesecake- Choice of Flavour,"8"" - Serves 8-10 / Chocolate Amaretto",,5,268.000,-11.000,0.000,257.000,0.000,257.000
Apple Pie,"5""",,34,244.550,0.000,0.000,244.550,10.770,255.320
Garlic Pan Pull Apart Buns,,,32,254.400,-1.590,0.000,252.810,2.060,254.870
6 Flourless Bagels,6 Sesame,,21,252.000,0.000,0.000,252.000,0.000,252.000
Irish Soda Bread,Small,,36,252.000,0.000,0.000,252.000,0.000,252.000
Oatcakes - 2 per package,,,200,250.000,0.000,0.000,250.000,0.000,250.000
Italian Bread,Regular Slices,,70,317.550,-67.500,-4.500,245.550,0.000,245.550
Copy of Confetti Cake,1/2 Slab Serves 35-40,,2,265.000,-19.500,0.000,245.500,0.000,245.500
Raspberry Pie,"5""",,26,238.750,0.000,0.000,238.750,6.680,245.430
6 Flourless Bagels,6 Plain with Sea Salt,,21,252.000,-7.200,0.000,244.800,0.000,244.800
Challah,Regular Slices,,28,248.750,0.000,-8.750,240.000,0.000,240.000
Leek & Potato Soup,500mL,,35,239.000,0.000,0.000,239.000,0.000,239.000
150 Ginger Molasses Cookies,,,1,237.500,0.000,0.000,237.500,0.000,237.500
Blueberry Pie,"5""",,31,245.650,0.000,-22.500,223.150,10.180,233.330
Whole Wheat Bread,Unsliced,,39,243.950,-1.190,-10.710,232.050,0.000,232.050
6 Sprinkle Shamrock Cookies,,,24,229.750,0.000,0.000,229.750,0.000,229.750
Lemon Cheesecake,"10"" Serves 14-16",,3,294.000,0.000,-68.000,226.000,0.000,226.000
White Chocolate Raspberry Mousse Cake,,,7,224.000,0.000,0.000,224.000,0.000,224.000
Basque Cheesecake,,,7,256.000,0.000,-32.000,224.000,0.000,224.000
Bailey's Cheesecake,"6""",,7,224.000,0.000,0.000,224.000,0.000,224.000
Copy of Confetti Cake,1/4 Slab Serves 15-20,,3,222.000,0.000,0.000,222.000,0.000,222.000
"24 Piece Square Tray (cut each square in 3 equals parts, so there are 36 pieces in total in the platter)",,,4,196.000,0.000,0.000,196.000,25.480,221.480
500 mL asparagus vichyssoise,,,36,221.400,0.000,0.000,221.400,0.000,221.400
Copy of Vanilla Buttercake with Raspberry Buttercream,Full Slab Serves 70,,1,220.000,0.000,0.000,220.000,0.000,220.000
Chocolate Buttercake,Full Slab Serves 70,,1,220.000,0.000,0.000,220.000,0.000,220.000
Chocolate Buttercake,1/2 Slab Serves 35-40,,2,220.000,0.000,0.000,220.000,0.000,220.000
Dublin Coddle,,,17,219.200,0.000,0.000,219.200,0.000,219.200
Multigrain Sourdough,Sliced- Thick Slices,,29,224.500,0.000,-7.500,217.000,0.000,217.000
Brunch Box - Individual,Chicken with Smoked Gouda and Chive Aioli on Italian,,39,624.000,-432.000,0.000,192.000,24.960,216.960
6 Vegan Cupcakes,Vegan Vanilla Cupcake with Chocolate Icing,,8,216.000,0.000,0.000,216.000,0.000,216.000
Copy of Chocolate Cherry Cake,"10"" Serves 14-16",,3,209.000,0.000,0.000,209.000,0.000,209.000
Apple Crumble Pie,"5""",,22,201.950,0.000,0.000,201.950,6.680,208.630
DAD Chocolate Chip Cookie Cake,,,10,229.500,-22.950,0.000,206.550,0.000,206.550
Birthday Party,,,8,200.000,0.000,0.000,200.000,0.000,200.000
Linzer Cookies,3 Raspberry/3 Lemon Curd,,17,211.500,0.000,-11.750,199.750,0.000,199.750
6 Nutella & Raspberry Jam Macaron,,,11,217.400,0.000,-17.700,199.700,0.000,199.700
Dianne's Cake,,,2,190.000,0.000,0.000,190.000,9.500,199.500
Challah,,,24,198.000,0.000,0.000,198.000,0.000,198.000
Copy of Confetti Cake,"10"" Serves 14-16",,3,195.000,0.000,0.000,195.000,0.000,195.000
Multigrain Sourdough,Sliced- Regular Thickness,,27,195.750,-1.450,0.000,194.300,0.000,194.300
"8"" chocolate cream pie",,,8,187.600,0.000,0.000,187.600,5.970,193.570
Easter Dinner for 2,2 Stuffed Zucchini,,2,170.000,0.000,0.000,170.000,22.100,192.100
Plain Cheesecake -Choice of Topping,"8"" Serves 8-10 / Cherry Topping",,4,192.000,0.000,0.000,192.000,0.000,192.000
9” Mincemeat Pie,,,6,191.700,0.000,0.000,191.700,0.000,191.700
"10"" Salted Caramel Tower (Dianes)",,,2,190.000,0.000,0.000,190.000,0.000,190.000
Rhubarb Pie,"9""",,6,188.700,0.000,0.000,188.700,0.000,188.700
White Chocolate Cheesecake - Choice of Fruit,"10"" Serves 14-16 / Blueberry",,3,201.000,-13.600,0.000,187.400,0.000,187.400
Chicken Noodle Soup - Frozen,500mL,,27,213.600,0.000,-32.550,181.050,0.000,181.050
Holiday Baked Goods Gift Box,Large,,2,160.000,0.000,0.000,160.000,20.800,180.800
Mac & Cheese,,,16,202.500,0.000,-22.500,180.000,0.000,180.000
Multigrain Sourdough,Unsliced,,24,184.750,-1.450,-5.800,177.500,0.000,177.500
Easter Decorated Cookie Cake,,,7,174.650,0.000,0.000,174.650,0.000,174.650
Irish Pasties,,,29,172.550,0.000,0.000,172.550,0.000,172.550
Take & Bake Cinnamon Buns,,,11,192.500,-21.000,0.000,171.500,0.000,171.500
Challah,Unsliced,,20,179.250,0.000,-8.750,170.500,0.000,170.500
72 mini macarons,,,1,169.920,0.000,0.000,169.920,0.000,169.920
Hummingbird Cupcakes - 4 Cupcakes,,,8,166.000,0.000,-18.000,148.000,19.240,167.240
6 Quinoa Chocolate Chip Cookies,,,24,166.800,0.000,0.000,166.800,0.000,166.800
6 Welsh Cakes,,,17,165.750,0.000,0.000,165.750,0.000,165.750
Quiche,"Roasted Tomato, Leek & Goat Cheese / 8""",,7,164.500,0.000,0.000,164.500,0.000,164.500
Brunch Box for 2 - Baked French Toast,Vegetarian (Mushroom & Onion Sautee),,3,144.000,0.000,0.000,144.000,18.720,162.720
300 mini gingers,,,1,162.500,0.000,0.000,162.500,0.000,162.500
55 Coconut Mar Macroon,,,55,162.250,0.000,0.000,162.250,0.000,162.250
Opera Cake,2 Slices,,10,157.500,-2.500,-12.500,142.500,18.530,161.030
LOVE IS LOVE Chocolate Chip Cookie Cake,,,7,160.650,0.000,0.000,160.650,0.000,160.650
"8"" Chocolate Cream Pie",,,7,160.650,0.000,0.000,160.650,0.000,160.650
"8"" Banana Cream Pie",,,9,163.960,-3.590,0.000,160.370,0.000,160.370
Basque Cheesecake - 6 inch,,,6,192.000,-32.000,0.000,160.000,0.000,160.000
6 Mincemeat Tarts,,,7,157.500,0.000,0.000,157.500,0.000,157.500
Take & Bake Strawberry Rhubarb Crisp,,,9,157.500,0.000,0.000,157.500,0.000,157.500
Rye Sourdough with Sunflower Seeds,,,23,155.250,-0.680,0.000,154.570,0.000,154.570
large breakfast pastry (730 a.m),,,2,136.000,0.000,0.000,136.000,17.680,153.680
"9"" Lemon Meringue Pie",,,7,153.650,0.000,0.000,153.650,0.000,153.650
"8"" Carrot Cake with no raisins",,,3,144.000,0.000,0.000,144.000,6.240,150.240
custom Shortbread cookies,,,100,150.000,0.000,0.000,150.000,0.000,150.000
1/2 slab Jam-filled layer cake (with rosette decoration),,,1,150.000,0.000,0.000,150.000,0.000,150.000
Apple Raisin Walnut Loaf (no sugar on top),,,8,145.600,0.000,0.000,145.600,0.000,145.600
1/2 slab Vanilla Buttercake,,,1,145.000,0.000,0.000,145.000,0.000,145.000
Large Shepard's Pie,,,4,288.000,0.000,-144.000,144.000,0.000,144.000
"6"" Chocolate Marquise Cake",,,4,144.000,0.000,0.000,144.000,0.000,144.000
"10"" Chocolate mousse cake",,,2,144.000,0.000,0.000,144.000,0.000,144.000
6 Almond Croissant,Chocolate Almond Croissant,,4,142.800,0.000,0.000,142.800,0.000,142.800
Wine,,,3,126.000,0.000,0.000,126.000,16.380,142.380
5 Course Valentine's Day Dinner for 2,2 Squash au Vin,,1,125.000,0.000,0.000,125.000,16.250,141.250
(32) Pop Tarts - Raspberry with E & R,,,32,176.000,-35.200,0.000,140.800,0.000,140.800
Confetti Cake,1/4 Slab Serves 15-20,,2,140.000,0.000,0.000,140.000,0.000,140.000
"Honey Roasted Walnut, Ricotta and Fig Crostini",1 Dozen,,10,175.000,-35.000,0.000,140.000,0.000,140.000
4 Potato Buns,,,23,138.000,0.000,0.000,138.000,0.780,138.780
4 Valentine's Day Cupcakes - Chocolate Curl,Vegan,,6,122.000,0.000,0.000,122.000,15.860,137.860
Pear apple cran crumble pie,,,5,137.750,0.000,0.000,137.750,0.000,137.750
Sandwich Platter Large,,,1,121.600,0.000,0.000,121.600,15.810,137.410
Baked Fruit Tart,Rhubarb / Large,,6,135.700,0.000,0.000,135.700,0.000,135.700
Whole Wheat Bread,Sliced- Regular Thickness,,23,136.850,-1.190,0.000,135.660,0.000,135.660
1/2 slab chocolate mousse cake,,,1,135.000,0.000,0.000,135.000,0.000,135.000
1/2 slab Raspberry Mouse Cake,,,1,135.000,0.000,0.000,135.000,0.000,135.000
1/2 slab Chocolate buttercake with Vanilla icing,,,1,135.000,0.000,0.000,135.000,0.000,135.000
1/2 Slab Chocolate Mousse Cake,,,1,135.000,0.000,0.000,135.000,0.000,135.000
Chocolate Mousse Half Slab,,,1,135.000,0.000,0.000,135.000,0.000,135.000
Lemon Layer Cake - 1/2 slab,,,1,135.000,0.000,0.000,135.000,0.000,135.000
Casalingo Salami,,,9,147.800,0.000,-13.300,134.500,0.000,134.500
Bumbleberry Crumble,"5""",,16,134.950,-1.590,0.000,133.360,0.000,133.360
"9"" lemon meringue",,,6,131.700,0.000,0.000,131.700,0.000,131.700
"10"" Chocolate Raspberry Mousse Cake",,,2,130.000,0.000,0.000,130.000,0.000,130.000
Copy of Chocolate Peanut Butter Cake,1/2 Slab Serves 35-40,,1,130.000,0.000,0.000,130.000,0.000,130.000
1/2 Slab Carrot Cake,,,1,130.000,0.000,0.000,130.000,0.000,130.000
50 Iced Shortbread - Round Shape,,,50,162.500,-32.500,0.000,130.000,0.000,130.000
1/2 Vanilla Cake with Vanilla BC Rosettes,,,1,130.000,0.000,0.000,130.000,0.000,130.000
1/2 Slab Raspberry Mousse Cake,,,1,130.000,0.000,0.000,130.000,0.000,130.000
Confetti Cake,"10"" Serves 14-16",,2,195.000,0.000,-65.000,130.000,0.000,130.000
1/2 slab chocolate cake with cream cheese icing,,,1,260.000,0.000,-130.000,130.000,0.000,130.000
1/2 slab choc cake with choc bc inside..choc gnache outside,,,1,130.000,0.000,0.000,130.000,0.000,130.000
1/2 slab lemon buttercream cake,,,1,130.000,0.000,0.000,130.000,0.000,130.000
Sourdough Bread,Large- Thick Slice,,15,140.400,-1.790,-8.950,129.660,0.000,129.660
napoleon,,,18,127.000,0.000,0.000,127.000,0.000,127.000
Shepherds Pie - Frozen,Large,,4,180.000,-17.540,-36.000,126.460,0.000,126.460
Pride Iced Shortbread Cookie,,,36,126.000,0.000,0.000,126.000,0.000,126.000
1 dozen Portuguese Tarts,,,3,126.000,0.000,0.000,126.000,0.000,126.000
Roasted Turkey Breast,,,5,125.000,0.000,0.000,125.000,0.000,125.000
T&J's Blueberry Jam Vinaigrette,8oz,,21,120.750,0.000,0.000,120.750,0.000,120.750
Warm Beet Salad with Goat Cheese and Toasted Walnuts,,,10,132.000,0.000,-12.000,120.000,0.000,120.000
1/2 chocolate cake white buttercream,,,1,120.000,0.000,0.000,120.000,0.000,120.000
Mother's Day Shortbread Variety 6-Pack,,,8,120.000,0.000,0.000,120.000,0.000,120.000
Caramelized Onion & Gruyere Tarts (dozen),,,6,105.000,0.000,0.000,105.000,13.650,118.650
Chocolate Buttercake,"10"" Serves 14-16",,2,118.000,0.000,0.000,118.000,0.000,118.000
Quiche,"Ham Brie Asparagus / 8""",,5,117.500,0.000,0.000,117.500,0.000,117.500
Whiskey Infused Raisin Bread Pudding,,,12,117.500,0.000,-9.500,108.000,7.430,115.430
Lunch Box - Individual,Cobb Salad *Does not contain gluten  $17.00,,6,102.000,0.000,0.000,102.000,13.260,115.260
"8"" mincemeat pie",,,5,114.750,0.000,0.000,114.750,0.000,114.750
Apple Raisin Walnut Loaf,,,7,114.650,0.000,0.000,114.650,0.000,114.650
Lemon Olive Oil Cake 1/2 Slab (12 Slices),,,1,114.000,0.000,0.000,114.000,0.000,114.000
Selection of Appetizers,Multi Pack (18 pieces plus Salsa),,4,119.800,-5.990,0.000,113.810,0.000,113.810
new years dinner,,,1,100.000,0.000,0.000,100.000,13.000,113.000
24 individual wrapped cookies,,,2,100.000,0.000,0.000,100.000,13.000,113.000
new year dinner for 2,,,1,100.000,0.000,0.000,100.000,13.000,113.000
new years dinner for 2,,,1,100.000,0.000,0.000,100.000,13.000,113.000
Rainbow Heart Cookies,,,30,112.500,0.000,0.000,112.500,0.000,112.500
Hale Coffee (Used in T&J),,,7,112.000,0.000,0.000,112.000,0.000,112.000
Iced Shortbread,,,32,112.000,0.000,0.000,112.000,0.000,112.000
1/2 Slab Van Cake with Van Buttercream,,,1,110.000,0.000,0.000,110.000,0.000,110.000
1/2 Slab Choc BC with Van BC,,,1,110.000,0.000,0.000,110.000,0.000,110.000
1/2 slab lemon layer cake,,,1,110.000,0.000,0.000,110.000,0.000,110.000
1/2 Slab Van BC with Van BC,,,1,110.000,0.000,0.000,110.000,0.000,110.000
Roasted Carrots with Maple Butter and Fresh Thyme,,,11,110.000,0.000,0.000,110.000,0.000,110.000
1/2 Slab Chocolate Cake with Vanilla Buttercream,,,1,110.000,0.000,0.000,110.000,0.000,110.000
1/2 Slab Vanilla Cake with Lemon Buttercream,,,1,110.000,0.000,0.000,110.000,0.000,110.000
1/2 slab chocolate rasp cake with Chocolate ganache,,,1,108.000,0.000,0.000,108.000,0.000,108.000
Gingerbread Men,,,8,108.000,0.000,0.000,108.000,0.000,108.000
Remaining balance for order #30315,,,1,106.910,0.000,0.000,106.910,0.000,106.910
Brownie Cobbler half sheet for White Mountain,,,6,106.500,0.000,0.000,106.500,0.000,106.500
Large - Local Cured Meats Platter,,,1,106.000,0.000,0.000,106.000,0.000,106.000
1/4 Slab Vehan Vanilla Cake with Vegan Vanilla Icing,,,1,105.000,0.000,0.000,105.000,0.000,105.000
1/2 slab vanilla cake with vegan vanilla b.c,,,1,130.000,-26.000,0.000,104.000,0.000,104.000
Challah,Thick Slices,,12,103.500,0.000,0.000,103.500,0.000,103.500
Cookie Trays - 2 Dozen (7am pickup),,,2,90.000,0.000,0.000,90.000,11.700,101.700
portuguese tarts,,,24,94.800,0.000,0.000,94.800,6.160,100.960
"8"" Lemon Meringue Pie",,,6,98.700,0.000,0.000,98.700,2.070,100.770
Quiche,"Roasted Tomato, Leek & Goat Cheese / 9""",,3,100.500,0.000,0.000,100.500,0.000,100.500
Gift Card,,,1,100.000,0.000,0.000,100.000,0.000,100.000
$100 Gift Card,,,1,100.000,0.000,0.000,100.000,0.000,100.000
Small Shepherds Pie,,,8,100.000,0.000,0.000,100.000,0.000,100.000
"10"" Vanilla Buttercake Rosette Design stacked 1.5",,,1,100.000,0.000,0.000,100.000,0.000,100.000
2 lb Fruitcake,,,3,99.000,0.000,0.000,99.000,0.000,99.000
Maple Syrup Amber,1 Litre,,4,99.000,0.000,0.000,99.000,0.000,99.000
1/2 Slab Chocolate Raspberry cake w/ Cream Cheese Icing,,,1,96.820,0.000,0.000,96.820,0.000,96.820
12 Slices of Carrot Cake (not sliced),,,1,96.660,0.000,0.000,96.660,0.000,96.660
Semi-sweet Chocolate Chips - 1 lb,,,12,96.000,0.000,0.000,96.000,0.000,96.000
Plain Cheesecake -Choice of Topping,"6"" Serves 4-6 / Cherry Topping",,3,96.000,0.000,0.000,96.000,0.000,96.000
Maple Syrup Dark,1 Litre,,4,96.000,0.000,0.000,96.000,0.000,96.000
12 Hazelnut Dacquoise Sandwich Cookies,,,6,95.700,0.000,0.000,95.700,0.000,95.700
Apple Walnut Raisin,,,6,95.700,0.000,0.000,95.700,0.000,95.700
Copy of Vegan Chocolate Cake,1/4 Slab - Serves 15-20,,1,95.000,0.000,0.000,95.000,0.000,95.000
"10"" Salted Chocolate Tower Cake",,,1,95.000,0.000,0.000,95.000,0.000,95.000
"10"" Chocolate Tower Salted",,,1,95.000,0.000,0.000,95.000,0.000,95.000
